BPID,lat,lon,NbDocks,Installed,commonName
246,51.522853,-0.099994,41,2010-07-20 15:29:00,"Berry Street, Clerkenwell"
247,51.530052,-0.168314,50,2010-07-20 15:32:00,"St. John's Wood Church, The Regent's Park"
248,51.506451,-0.17027899999999999,27,2010-07-20 15:36:00,"Triangle Car Park, Hyde Park"
249,51.498597,-0.096191,42,2010-07-20 15:40:00,"Harper Road, The Borough"
250,51.489932,-0.16272699999999998,10,2010-07-20 15:50:00,"Royal Avenue 1, Chelsea"
251,51.518908,-0.079249,34,2010-07-21 08:16:00,"Brushfield Street, Liverpool Street"
252,51.504636,-0.11654199999999999,30,2010-07-21 08:24:00,"Jubilee Gardens, South Bank"
253,51.534042,-0.086379,30,2010-07-21 08:27:00,"Shoreditch Park, Hoxton"
254,51.530515,-0.10640799999999999,18,2010-07-21 08:29:00,"Chadwell Street, Angel"
255,51.525575,-0.179592,22,2010-07-21 08:56:00,"Clifton Road, Maida Vale"
256,51.51362,-0.11676399999999999,15,2010-07-21 10:27:00,"Houghton Street, Strand"
257,51.522481,-0.154907,16,2010-07-21 10:29:00,"Westminster University, Marylebone"
258,51.501432,-0.17865599999999998,23,2010-07-21 10:33:00,"Kensington Gore, Knightsbridge"
259,51.491495,-0.154004,16,2010-07-21 10:45:00,"Bourne Street, Belgravia"
260,51.513684,-0.13558,18,2010-07-21 11:17:00,"Broadwick Street, Soho"
261,51.513489,-0.191351,16,2010-07-21 11:20:00,"Princes Square, Bayswater"
262,51.498744,-0.103132,35,2010-07-21 11:27:00,"LSBU (Borough Road), Elephant & Castle"
263,51.514225,-0.08066000000000001,21,2010-07-21 11:36:00,"St. Mary Axe, Aldgate"
264,51.526443,-0.10925599999999999,20,2010-07-21 11:42:00,"Tysoe Street, Clerkenwell"
265,51.515953,-0.16924899999999998,17,2010-07-21 12:12:00,"Southwick Street, Paddington"
266,51.501026,-0.180246,41,2010-07-21 12:16:00,"Queen's Gate (North), Kensington"
267,51.49206,-0.13222399999999998,22,2010-07-21 12:19:00,"Regency Street, Westminster"
268,51.493204,-0.14413199999999998,29,2010-07-21 12:22:00,"Belgrave Road, Victoria"
269,51.500823,-0.08974000000000001,46,2010-07-21 12:25:00,"Empire Square, The Borough"
270,51.486343,-0.12249199999999999,31,2010-07-21 13:53:00,"Kennington Lane Rail Bridge, Vauxhall"
271,51.535836,-0.15628499999999998,32,2010-07-21 14:02:00,"London Zoo,  The Regent's Park"
272,51.501444,-0.11069899999999999,22,2010-07-21 14:07:00,"Baylis Road, Waterloo"
273,51.506133,-0.114686,38,2010-07-21 14:10:00,"Belvedere Road 1, South Bank"
274,51.496712,-0.205284,36,2010-07-21 14:13:00,"Warwick Road, Olympia"
275,51.520044,-0.092176,19,2010-07-21 14:18:00,"Barbican Centre, Barbican"
276,51.509301,-0.08498499999999999,24,2010-07-21 14:40:00,"Lower Thames Street, Monument"
277,51.503157,-0.191496,17,2010-07-21 14:42:00,"Kensington Church Street, Kensington"
278,51.503493,-0.07962000000000001,17,2010-07-21 14:45:00,"Tooley Street, Bermondsey"
279,51.518622,-0.176645,25,2010-07-21 14:49:00,"North Wharf Road, Paddington"
280,51.490083,-0.16241799999999998,10,2010-07-21 15:34:00,"Royal Avenue 2, Chelsea"
281,51.495805,-0.127575,18,2010-07-21 15:37:00,"Smith Square, Westminster"
282,51.519064,-0.059642,42,2010-07-21 15:43:00,"Royal London Hospital, Whitechapel"
283,51.514409,-0.118478,16,2010-07-21 15:47:00,"Kingsway, Covent Garden"
