Station,Entry-Weekday,Entry-Saturday,Entry-Sunday,Exit-Weekday,Exit-Saturday,Exit-Sunday,Annual-e-and-e-million,Year,Entry-Weekend,Exit-Weekend,Weekend-Weekday,Latitude,Longitude,Zones,Zone,Connections
Barons Court,12324.0,7045,4661,11260.0,5551,4385,7.155458,2013,5853.0,4968.0,0.3145182386281064,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
Barons Court,11779.0,6683,4431,10715.0,5196,4060,6.809659,2012,5557.0,4628.0,0.31166804369778756,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
Barons Court,11409.0,6579,4365,10111.0,5062,3867,6.53558,2011,5472.0,4464.5,0.31588066059478964,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
Barons Court,11264.0,6299,4228,10109.0,4796,3769,6.456132,2010,5263.5,4282.5,0.3087421973543776,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
Bayswater,6946.0,6916,6033,6309.0,6409,5286,4.714236,2017,6474.5,5847.5,0.4817609571099034,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Bayswater,6997.0,7356,6097,6293.0,6658,5173,4.756028,2016,6726.5,5915.5,0.48750578435909303,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Bayswater,7476.0,8002,6722,7014.0,7561,5894,5.21959,2015,7362.0,6727.5,0.4929932294126909,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Bayswater,7933.0,8633,7352,7762.0,8543,6669,5.691226,2014,7992.5,7606.0,0.4984581462604055,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Bayswater,7732.0,8503,7209,7368.0,8156,6471,5.493688,2013,7856.0,7313.5,0.5011480202844447,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Bayswater,7809.0,8524,7222,7520.0,8089,6333,5.541858,2012,7873.0,7211.0,0.49597211718672934,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Bayswater,7284.0,7711,6390,6972.0,7242,5756,5.100938,2011,7050.5,6499.0,0.4872956789124454,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Bayswater,8390.0,7577,5898,7855.0,7016,5125,5.519178,2010,6737.5,6070.5,0.44084948198120677,51.51211129,-0.187901574,1,1,"{'Circle', 'District'}"
Becontree,6034.0,3935,2549,5638.0,3595,2423,3.637924,2017,3242.0,3009.0,0.3487697372091726,51.53958541,0.126880292,5,5,{'District'}
Becontree,5803.0,3830,2540,5542.0,3538,2411,3.54553,2016,3185.0,2974.5,0.35188094489988286,51.53958541,0.126880292,5,5,{'District'}
Becontree,5843.0,3522,2233,5531.0,3329,2113,3.490288,2015,2877.5,2721.0,0.3298571218147002,51.53958541,0.126880292,5,5,{'District'}
Becontree,5657.0,3540,2200,5359.0,3302,2085,3.395647,2014,2870.0,2693.5,0.3355650049760246,51.53958541,0.126880292,5,5,{'District'}
Becontree,5184.0,3077,1818,4804.0,2770,1722,3.039868,2013,2447.5,2246.0,0.3196880427749208,51.53958541,0.126880292,5,5,{'District'}
Becontree,4802.0,2922,1709,4483.0,2696,1620,2.837652,2012,2315.5,2158.0,0.3251444561543773,51.53958541,0.126880292,5,5,{'District'}
Becontree,4658.0,2820,1707,4345.0,2645,1642,2.75953,2011,2263.5,2143.5,0.32863534675615214,51.53958541,0.126880292,5,5,{'District'}
